identifier	pos	stem	morphology	number	case	psx	figurative	grabbing	temporal	existential	non-finite	comment	category_based_on_finnish	meaning_fin	motion_predicate_lemma	predicate	rel_nouns_noun_finnish	rel_nouns_noun?	form	sentence
0684	ADP	весьт	весьт-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	Tila	Tila	rei'ittyy valonsäteen yläpuolitse	NA	розьӧдчысьӧ	valonsäde	би_югӧр	весьттіыс	Розьӧдчысьӧ би югӧр ВЕСЬТТІЫС.
0141	ADP	выв	выв-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	NA	NA	вӧлі кӧмалӧма	(jokin lääkinnällinen kääre?)	бинт	вывтіыс	Первой коммунистическӧй дивизияса командир, ранитчӧм кока (бинт ВЫВТІЫС ӧні вӧлі кӧмалӧма кодлыськӧ ыджыд туфли), шыбытчис платформа вылӧ сувтӧдны пышйысьясӧс.
0583	ADP	орд	орд-ӧд	sg	prl	FALSE		NA	NA	NA	NA	Kohdeväylä	Väylä	älä vie (sairaita) parantajien luo	кыскавны	он кыскав	parantajat	бурдӧдчысьяс	ордӧд	Сьӧмын пӧраын кӧ босьтчан, нуан висьысьӧс больничаӧ, а он кыскав «тӧдысьяс», велӧдчытӧм бурдӧдчысьяс ОРДӦД, — верман.
0565	ADP	пӧлӧн	пӧлӧн-ӧд-ыс	sg	prl	TRUE		NA	NA	NA	NA	Väylä (2-ulott.)	Väylä (2)	ei pidä muokata (kanavia) kasvavaa nuorta metsää pitkin	NA	оз ков вӧчавны	kasvava nuori metsä	быдмысь том вӧр	пӧлӧнӧдыс	Тайӧ визьяссӧ (канаваяссӧ) оз ков вӧчавны дзик быдмысь том вӧр ПӦЛӦНӦДЫС, а сыысь водзӧджык, этша вылӧ 30 метр сайӧ.
0031	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	siirsivät (kuorman) veden yli	вежны	вежисны	vesi	ва	вывті	Техникалӧн, промышленносьтлӧн да вузасьӧмлӧн паськалӧмыс ӧти сё воӧн дзикӧдз вежисны му вывті да ва ВЫВТІ груз да йӧзӧс кыскалан ногсӧ.
0117	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	TRUE	NA	Väylä (2)	vettä pitkin menemisessä	ветлыны	ветлӧмын	vesi	ва	вывті	Тайӧ кадас ва ВЫВТІ ветлӧмын медводзысь вӧліс применитӧма парӧвӧй турбина.
0127	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Väylä (2)	kuljeskelivat vettä pitkin	ветлывлыны	ветлывлісны	vesi	ва	вывті	Ветлывлісны му вывті и ва ВЫВТІ тӧргуйтӧм могысь, мореясысь да океанъясысь чери кыйлісны, степъясын да вӧръясын кыйсьылісны, скӧтнысӧ видзлісны, — перйылісны аслыныс кынӧмпӧт.
0128	ADP	выв	выв-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Väylä (2)	kulkivat veden päältä	ветлывлыны	ветлывлісны	vesi	ва	вывтіыс	Сыысь кындзи ва ВЫВТІЫС пырджык ветлывлісны дзонь флотилияясӧн, а флотилияяслы пыр лоис мунны ӧтлаын, медньӧжйӧ мунысь судноыскӧд тшӧтш.
0034	ADP	ув	ув-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	Tila	Väylä (3)	oppi ylittämään veden alitse	вуджны	велаліс вуджны	vesi	ва	увтіыс	Ӧні сійӧ ёна вежӧра лои, вермӧ лэбавны пӧткаяс дорысь сюсьджыка да дырджыка, велаліс саридзьяс вомӧн, ва УВТІЫС вуджны, мӧда-мӧдкӧд сюрс верст сайсянь сёрнитны телепонӧн, тӧдӧ кодзувъяслысь туйсӧ, весиг во-мӧд водзвыв вермӧ висьтавны шонді саявлӧм йылысь.
0704	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	suikahtelivat vettä pitkin	тювкъявны	тювкъявны	vesi	ва	вывті	Ваысь кокньыда ӧзъян газ торъялӧ калийӧн, натрийӧн; натрий шыбитан ваӧ, натрий пондас зэв ӧдйӧ тювкъявны ва ВЫВТІ, ӧзъян газ пондас мездысьны ваысь, лэбны вывлань.
0421	ADP	кост	кост-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	Tila	laskevat akselin välistä	лэдзны	лэдзӧны	akseli	вал	костті	Тайӧ паськыд дӧра кодь лентасӧ лэдзӧны кык вал КОСТТІ.
0413	ADP	кост	кост-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	Tila	laskevat akselien välistä	лэдзны	лэдзӧны	akselit	валъяс	костті	Мед эськӧ бура косьтыны, бумагасӧ выльысь лэдзӧны валъяс КОСТТІ.
0573	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Väylä (2)	ei voi kulkea katon päältä	ветлыны	оз позь ветлыны	katto	вевт	вывті	сёрӧм вылысь лым колӧ весавны усьӧм бӧрас пырысьтӧм-пыр жӧ; весалӧны мусяньыс кузь зіб йылӧ садитӧм зыртан пӧвйӧн; весавны кӧ ковмас сёрӧм вылӧ кайӧмӧн, сэк кок улӧ колӧ пуктыны пӧвйысь вӧчӧм либӧ палича пос, а сытӧг ветлыны вевт ВЫВТІ оз позь, мед вевтыс оз торксьы;
0036	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	voi paeta katon kautta	петны	вермас петны	katto	вевт	вывті	А оз кӧ ло турунсӧ бура йӧткыштӧма, сійӧ вермас бӧр петны ползун вевт ВЫВТІ, дзугсьыны камера вевта – ползун юра костын да тыртны машинасӧ.
0718	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	Tila	(putki) paksuntuu katon päältä	NA	ыдждӧ	katto	вевт	вывті	Чардакын трубаыс паськалыштӧ: 30 см да 30 см ыджда, чардакысь вылынджык, вевт ВЫВТІ труба ыдждӧ 40 см да 40 см вылӧ.
0708	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	hyppivät huoneen (tai alueen tms.) yli	чеччыштны	чеччышталӧны	huone?	вежӧсъяс	вывті	Тусьыс кисьтысьӧ вылыссяньыс тюрикӧ, сэсянь киссьӧ туй вылас, сэк викалӧн гӧгрӧс тусьясыс чеччышталӧны вежӧсъяс ВЫВТІ «змейка» дорас, сэсся петӧны уліас торйӧн.
0263	ADP	сай	сай-ӧд	sg	prl	FALSE		NA	NA	NA	NA	Väylä (mitta)	Väylä	täytyy sitoa noin kahden versokin (mittayks.) takaa	NA	колӧ кӧртавны	versok (mittayksikkö)	вершӧк	сайӧд	Кык кымын вершӧк САЙӦД кага кынӧмсянь гӧгсӧ кыклаті зэв зэлыда колӧ кӧртавны да кык кӧрталӧм костӧдыс вундыны ножичӧн.
0658	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	(äkeellä) voi tasoittaa niittyjä pitkin	NA	позьӧ шыльӧдны	niityt	видзъяс	вывті	Бурджык видзьяс ВЫВТІ позьӧ агасӧн шыльӧдны.
0586	ADP	бок	бок-ӧд-ыс	sg	prl	TRUE		NA	NA	NA	NA	NA	Tila	kulunut aika näkyy viivan reunasta	NA	пасйыссьӧ	viiva	визь	бокӧдыс	Тайӧ нуӧдӧм визь БОКӦДЫС пасйыссьӧ кадыс, кодыр вӧлі аддзӧма тшынсӧ.
0361	ADP	туй	туй-ӧд	sg	prl	FALSE		NA	NA	NA	NA	NA	NA	lentää ruuvin (kierteen?) tavalla	лэбны	лэбӧ	ruuvi?	винта	туйӧд	Сійӧ лэбӧ пространствоын быттьӧ винта ТУЙӦД (17ʼ серп.).
0175	ADP	берд	берд-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	Tila	Tila	nakertaa juuren vierestä	NA	йирӧны	juuri	вуж	бердтіыс	Найӧ йирӧны вуж БЕРДТІЫС да вермасны вуж бердса почкаяссӧ сёйны.
0258	ADP	берд	берд-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	täytyy leikata juuren vierestä	NA	колӧ вундавны	juuri	вуж	бердтіыс	Мед эськӧ воас бур кӧйдыс да мед ӧтпырйӧнджык воасны, лишнӧй вожъяссӧ вуж БЕРДТІЫС колӧ вундавны, кольны сӧмын 3-сянь 7 вожйӧдз.
0575	ADP	берд	берд-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	Tila	Tila	ei voi leikata juuren vierestä	NA	оз позь вундынысӧ	juuri	вуж	бердтіыс	Коръяссӧ дзик вуж БЕРДТІЫС некыдзи оз позь вундынысӧ.
0724	ADP	дор	дор-ӧд-ыс	sg	prl	TRUE		NA	NA	TRUE	NA	NA	Tila	NA	NA	NA	päällinen	вылыс	дорӧдыс	Татшӧм канаваяс обычнӧя кодйыссьӧны 0,3 метр судта да уна вылӧ 0,75 метр пасьта (вылыс ДОРӦДЫС).
0706	ADP	выв	выв-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	NA	työskentelevät työn päältä (eli paljon)	NA	уджалӧны	voima	вын	вывтіыс	Уджалӧны сьӧкыда, вын ВЫВТІЫС.
0740	ADP	сер	сер-ти	sg	tra	FALSE		NA	NA	NA	NA	NA	NA	"""suhteessa kokoon"""	NA	NA	NA	габарит	серти	Платформа вылӧ турун лэптыссьӧ габарит СЕРТИ (джуджыда-ӧ тӧрӧ кӧрт туй посъяс увті, кыті лоӧ мунны платформалы) да овлӧ обычнӧя 2,5 м судта.
0321	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	vetää kivikkoa pitkin	кыскыны	кыскӧ	kivikko	галяа	вывті	Шӧркоддьӧм уджӧн жӧ лыддьыссьӧ, сійӧ жӧ кӧ вӧлыс сы мында жӧ груз сы ылнаӧдз жӧ кыскӧ гырысь лыаа вывті либӧ посни галяа ВЫВТІ.
0710	ADP	берд	берд-ті-ыд	sg	tra	TRUE		NA	NA	NA	NA	Tila	Tila	sujahtaa köyhän (ihmisen) ohi	чишнитыштны	чишнитыштас	köyhä	гӧль	бердтіыд	Озыр мортыдлы попыд сувтас паныд кадитчигад да копрасьӧмӧн ӧвтыштас сылы кадилӧнас, гӧль БЕРДТІЫД сӧмын чишнитыштас, оз весиг видзӧдлы сы вылӧ.
0359	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	lentää vuoren yli	лэбны	лэбас	vuori	гӧра	вывті	Сэтшӧм ӧдйӧ лэбигӧн снарад кытшовтас Мутӧ часӧн-джынйӧнӧн; сы бӧрын сійӧ выльысь лэбас лыйсян гӧра ВЫВТІ.
0161	ADP	дор	дор-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	leikkaa solmun vierestä	NA	вундӧ	solmu	гӧрӧд	дортіыс	Нарошнӧ лӧсьӧдӧм пурт гӧрӧд ДОРТІЫС вундӧ.
0715	ADP	туй	туй-яс-ӧд	pl	prl	FALSE		NA	NA	NA	NA	Aukko	Aukko	tulee naarmujen kautta	шедны	шедӧ	naarmu	гыж	туйясӧд	Лёквисьӧм миянлы шедӧ гыж ТУЙЯСӦД, вундысьӧминъясӧд, лудік-тӧрӧкан курччӧминъясӧд.
0675	NOUN	туй	туй-ӧд	sg	prl	FALSE		NA	NA	NA	NA	Aukko	Aukko	menee sisään naarmujen kautta	пырны	пырӧ	naarmuuntuminen	гыжйыштӧм	туйӧд	Сэтчӧ пырӧ сійӧ гыжйыштӧм ТУЙӦД либӧ дойӧд.
0038	ADV	бӧр	бӧр-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	takaa	NA	NA	NA	NA	бӧрті	Абу кӧ гӧрӧма арнас коськӧм мутӧ, тулыснас колӧ сэті гӧрны водзджык, пырысь-пыр, мыйӧн помасяс вося кӧдзаыд, сёрмӧдчан кӧ гӧрӧмнад, бара жӧ муыс вывті ёна косьмӧ да БӦРТІ гырысь комӧкӧн кутас гӧрсьыны.
0039	ADV	бӧрладор	бӧрладор-ті-ыс	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	бӧрладортіыс	Бура колькъялысь курӧглӧн бокса лыясыс БӦРЛАДОРТІЫС вӧсньыдикӧсь, небыдӧсь, лайкъялана (личкыштан да).
0035	ADP	туй	туй-ӧд	sg	prl	FALSE		NA	NA	NA	NA	Aukko	Aukko	voi siirtyä haavan kautta	вуджны	вермас вуджны	haava	гыжна	туйӧд	Висьӧмыд вермас вуджны и гыжна ТУЙӦД да дой пыр.
0676	ADP	туй	туй-яс-ӧд	pl	prl	FALSE		NA	NA	NA	NA	NA	Aukko	menee sisään haavoja pitkin	пырны	пырӧ	haava	гыжна	туйясӧд	Сійӧ пырӧ сӧмын кутшӧмкӧ дойӧд либӧ гыжна ТУЙЯСӦД.
0412	ADP	кост	кост-ӧд	sg	prl	FALSE		NA	NA	NA	TRUE	Aukko	Aukko	kynsien välistä laskien	лэдзны	лэдзӧмӧн	kynsi	гыжьяс	костӧд	Бобӧнянь турунлысь воӧм позьӧ тӧдны засӧ гартӧмӧн (песлалӧмӧн) да гыжъяс КОСТӦД ӧтка за лэдзӧмӧн.
0043	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	БЫДЛАТІ ойдӧма — ваӧн тырӧма.
0044	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Вина юысь морт эновтчӧ овмӧссьыс, омӧля уджалӧ, БЫДЛАТІ киссьӧма, жугласьӧма, некыт оз выльдышт.
0045	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Голясӧ, киняувъяссӧ, пель сайяссӧ, кокъяс костсӧ — БЫДЛАТІ, кыті кусыня кучикыс — косьтыны сӧмын личкыштӧмӧн: небыдика тап-тап вӧчышт.
0046	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Гутъясыд БЫДЛАТІ лэбалӧны, гожӧмъясын керка картаыд наӧн тыр.
0047	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Дзоньвидза-ӧ БЫДЛАТІ кагаыс, позьӧ тӧдны веситӧм серти.
0048	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Кага видзигӧн мед вӧлі БЫДЛАТІ сӧстӧм.
0049	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Казяланныд кӧ нырсьыс ва петӧм, пыкӧсъяс кучик вывсьыс, асмогасянінъяссьыс висьӧмъяс, абу кӧ БЫДЛАТІ лючки-ладнӧ, пырысьтӧм-пыр жӧ колӧ петкӧдлыны вӧвтӧ скӧт лекарлы.
0050	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Киноыд БЫДЛАТІ новлӧдлас, быдсяма олӧмсӧ петкӧдлас син водзад, ас сиктсьыд некытчӧ ветлытӧг.
0051	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Колӧ став керкатӧ киськавны пузьӧм ваӧн, резны БЫДЛАТІ.
0052	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Кӧртӧднад зэлӧдӧ сійӧс БЫДЛАТІ, оз вермы лючки лолыштны ни быдмыны, быттьӧ поньталӧма.
0053	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Лыяс висьмӧм бӧрын мортыдлы зэв нин сьӧкыд да делӧ овны: БЫДЛАТІ зэв ёна юкалӧ, медся нин войясын.
0054	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Миян ӧд сӧмын БЫДЛАТІ няйт да дук.
0055	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Мукӧддырйиыс пыктытӧдзыс морттӧ биалӧ да кынтӧ, а кор быттьӧ мортыд мудзӧма, жуялӧма, быттьӧ БЫДЛАТІ сылӧн висьыштӧ сы бӧрын и висьмӧны суставъясыс.
0056	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Налӧн БЫДЛАТІ сӧстӧм да пельк.
0057	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Пӧсь дозйыд кӧдзыд васьыд кутас зэв ӧдйӧ чинны, топавны; оз ӧткодя БЫДЛАТІ чин, дорыс ньӧжйӧджык чинӧ; сы понда потласьӧ дозйыд.
0058	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Ручнӧй прессъяслӧн тырмытӧмторъясыс: оз БЫДЛАТІ ӧткодя лэччы пӧвйыс, дай вильдалӧны скрепаясыс (уджалігӧн стержень кутысь муфтаяс), а медся главнӧйыс — зэлыда да не пасьтала ӧткодя турун сюялӧмӧн прессовальнӧй камераяс унаысь жугавлӧны.
0059	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Сийӧс-заводыд вӧлыдлӧн медым вӧлі БЫДЛАТІ лючки-ладнӧ, медым некыт эз зырт, эз дойд.
0060	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Сідзтӧ челядьлӧн БЫДЛАТІ ёна мудзӧ, медъёна бара жӧ нервнӧй системаыс.
0061	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Сы вӧсна вуджана висьӧмӧн висьысьлӧн оз сӧмын висьмӧминыс вись, а БЫДЛАТІ: мортыд быттьӧ пыр зэв ёна мудзӧма, оз сёйсьы ни юсьы.
0062	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Тушаыс видзӧднысӧ мед вӧлі БЫДЛАТІ лӧсьыд статя.
0063	ADV	быдла	быдла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	kaikkialta	NA	NA	NA	NA	быдлаті	Шыблалӧмӧн кӧдзигӧн кӧйдыссӧ тыртӧны му пытшкас пиняясӧн (агасъясӧн), мукӧд тусьяс вылӧ муыс воӧ кызджыка, мукӧдӧ — пелькджыка, кытчӧ и дзик оз веськавлы — оз БЫДЛАТІ ӧтмоза вевттьысь мунас.
0437	ADP	дор	дор-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	mittaa kyynärpään vierestä	мерайтсьыны	мерайтсьӧ	kyynärpää	гырддза	дортіыс	Водзӧ сійӧ жӧ лентанас мерайтсьӧ кызта морӧс гӧгӧрыс шоша шӧр весьттіыс, водз кок гырддза ДОРТІЫС маті (чут в, г).
0700	NOUN	берд	берд-ӧд	sg	prl	FALSE		NA	NA	NA	NA	NA	Tila	rahan luokse viereen kiinnitämme	NA	тувъялам	NA	деньга дорас бердӧд	бердӧд	Босьтам ыргӧн деньга; деньга дорас БЕРДӦД тувъялам кӧрт тувъяс пӧвйӧ — мед кӧрттувъяс костті кокньыда тӧрӧ мунны миян деньганым.
0557	NOUN	берд	берд-ӧд-ыс	sg	prl	TRUE		NA	NA	TRUE	NA	NA	Tila	(joskus) tyven reunoista ovat metriä paksumpia	NA	овлӧны	juuri	дін	бердӧдыс	Мукӧддырйи дін БЕРДӦДЫС овлӧны метрысь паськыдджыкӧсь.
0590	ADP	ув	ув-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	Väylä	Väylä	menee ulos aidan alitse	петны	петас	aita	забор	увтіыс	Порсьыд вермас курччавны скӧттӧ. Заборыд, потшӧсыд оз вермы кутны порсьтӧ, сійӧ гудъяс мусӧ да петас забор УВТІЫС.
0656	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	voi kylvää kauran päältä	кӧдзны	позьӧ кӧдзны	kaura	зӧр	вывті	Паськыд коста визьясӧн бобӧнянь позьӧ кӧдзны зӧр ВЫВТІ.
